exit_reason,trade_count,avg_gross_ret,win_rate,profit_factor,avg_holding_bars
max_hold,75,0.0003500434507429458,0.52,2.9224290594761917,31.0
stop,24,-0.0010062630397799875,0.0,0.0,14.125
