ts_code,name,t0_category_cn,trade_date,rows,amount,vol,first_time,last_time,valid_entries,force_flat_bars
513100.SH,纳指ETF国泰,跨境,20220113,241,0.0,0,2022-01-13 09:30:00,2022-01-13 15:00:00,230,6
513500.SH,标普500ETF博时,跨境,20220329,241,0.0,0,2022-03-29 09:30:00,2022-03-29 15:00:00,230,6
