cost_bp,trade_count,final_nav,ann_return,ann_vol,sharpe,max_drawdown,win_rate,avg_gross_ret,avg_net_ret,profit_factor,avg_pred_up_proba,prob_threshold
0.0,1338,1.0121704324025618,0.01267651728996455,0.01217280295560338,1.0413803079042943,-0.007745826752320273,0.43946188340807174,4.547128430077082e-05,4.547128430077082e-05,1.0780352835509788,0.6636645631073228,0.65
0.0,2203,1.003453579104788,0.0035965453154105376,0.021048412443638344,0.17087014638472436,-0.017529105566910785,0.4280526554698139,8.30456298322768e-06,8.30456298322768e-06,1.0151005881491688,0.6060225655362872,0.55
0.0,18,1.0020427132077494,0.002127212560723013,0.0013999775679901939,1.5194618895050132,-0.0006129622154913417,0.5555555555555556,0.0005671042390868094,0.0005671042390868094,1.7465317691200901,0.8162030995715723,0.8
0.0,337,1.0008730799335803,0.000909174012362568,0.008673543396723634,0.10482152112203666,-0.004569482949720816,0.4332344213649852,1.348176739102213e-05,1.348176739102213e-05,1.0169615216129169,0.7151539889328462,0.7
0.0,1828,0.9965815240150557,-0.0035594836251205964,0.01579440474982978,-0.22536358169236848,-0.02167440643117835,0.424507658643326,-9.039923584405782e-06,-9.039923584405782e-06,0.9843907788160934,0.6312329301757121,0.6
0.0,69,0.9949754838450928,-0.005231596754480483,0.006373173619334073,-0.82087780232592,-0.008684480378399417,0.4057971014492754,-0.000363599410071078,-0.000363599410071078,0.7200201802550648,0.7677270858389075,0.75
0.0,2619,0.9821388826139673,-0.018592276885357473,0.0207916408790402,-0.8942188350367345,-0.0317566438164969,0.42955326460481097,-3.401055035675533e-05,-3.401055035675533e-05,0.9355746702447616,0.5805001924780998,0.5
1.0,18,1.0013215359395704,0.0013761824217297658,0.0013781761769884227,0.9985533378881838,-0.0008129622154912086,0.5555555555555556,0.0005671042390868094,0.00036710423908680937,1.4326300700713046,0.8162030995715723,0.8
1.0,69,0.9922322806224664,-0.00808739812649506,0.006500797168451306,-1.244062522938511,-0.010151429054303551,0.391304347826087,-0.000363599410071078,-0.0005635994100710779,0.6025236182845102,0.7677270858389075,0.75
1.0,337,0.9874703551936144,-0.013044007445435657,0.008812794473263375,-1.4801215987742722,-0.012874791637713434,0.42729970326409494,1.348176739102213e-05,-0.0001865182326089779,0.7946475886741146,0.7151539889328462,0.7
1.0,1338,0.959418626644881,-0.04222238896209518,0.01229870822076652,-3.433075100586756,-0.0411578443794548,0.4327354260089686,4.547128430077082e-05,-0.00015452871569922923,0.7776387680518805,0.6636645631073228,0.65
1.0,1828,0.926296475933481,-0.07662939408004166,0.016086525794918278,-4.763576365522556,-0.07371439923134437,0.41301969365426694,-9.039923584405782e-06,-0.0002090399235844058,0.6989810481816643,0.6312329301757121,0.6
1.0,2203,0.9187944097445975,-0.08441548072742167,0.021325638232879012,-3.9584034862447055,-0.08101655364200089,0.40807989105764864,8.30456298322768e-06,-0.00019169543701677233,0.7116065584724675,0.6060225655362872,0.55
1.0,2619,0.884424138242922,-0.12005307266420451,0.021060520727092722,-5.700384820483833,-0.115582512132408,0.40015273004963725,-3.401055035675533e-05,-0.00023401055035675536,0.6358106178464171,0.5805001924780998,0.5
2.0,18,1.000600765604136,0.0006255983927614395,0.0014382441304524758,0.43497371518187555,-0.001116748712867488,0.5555555555555556,0.0005671042390868094,0.00016710423908680922,1.1782579024951547,0.8162030995715723,0.8
