cost_bp,trade_count,final_nav,ann_return,ann_vol,sharpe,max_drawdown,win_rate,avg_gross_ret,avg_net_ret,profit_factor,avg_weight,avg_holding_bars
0.0,3517,0.6194392294421818,-0.1531603114852309,0.020272902962210928,-7.554927469969377,-0.38057244775401144,0.29911856696047767,-0.0006494853183648787,-0.0006494853183648787,0.4283244009634709,0.21860441593167507,4.318453227182258
1.0,3517,0.5310640239486011,-0.19722019567257254,0.021072031238570765,-9.359334818732417,-0.4689359760513989,0.2536252487915837,-0.0006494853183648787,-0.0008494853183648789,0.3370526697714758,0.21860441593167507,4.318453227182258
2.0,3517,0.4552738414429648,-0.23900130563400834,0.022138691402555935,-10.79563833688993,-0.5447261585570352,0.21808359397213534,-0.0006494853183648787,-0.001049485318364879,0.2681979782709329,0.21860441593167507,4.318453227182258
3.0,3517,0.3902798559528892,-0.2786207973449307,0.02343638333894814,-11.888387099467698,-0.6097201440471107,0.18709127096957634,-0.0006494853183648787,-0.0012494853183648786,0.21593619703882014,0.21860441593167507,4.318453227182258
5.0,3517,0.2867581741365199,-0.3518139181652735,0.026583879127731327,-13.234107651289843,-0.7132418258634801,0.14444128518623828,-0.0006494853183648787,-0.0016494853183648792,0.14426795346098945,0.21860441593167507,4.318453227182258
10.0,3517,0.13257819515917213,-0.5040892306003457,0.03645128155217508,-13.829122300646965,-0.8674218048408279,0.07790730736423088,-0.0006494853183648787,-0.0026494853183648796,0.060798200711736146,0.21860441593167507,4.318453227182258
