cost_bp,view,trade_count,final_nav,ann_return,ann_vol,sharpe,max_drawdown,win_rate,avg_gross_ret,avg_net_ret,profit_factor,avg_pred_ret_bp,avg_downside_prob,avg_trade_score,score_col,lambda,score_quantile,score_threshold,pred_ret_min,downside_max,use_event_filter
0.0,best_including_zero_trade,49,1.0016438735962745,0.0017118603669779,0.0011683830182958,1.465153413026068,-0.0005181924781607,0.4897959183673469,0.0001676716340531,0.0001676716340531,2.122503402787601,2.1742211462200443,0.2306070457386867,1.0211859175266105,trade_score_lam5,5.0,0.9,-1.8370431979079336,2.0,0.4,False
0.0,best_trade_count_gt_0,49,1.0016438735962745,0.0017118603669779,0.0011683830182958,1.465153413026068,-0.0005181924781607,0.4897959183673469,0.0001676716340531,0.0001676716340531,2.122503402787601,2.1742211462200443,0.2306070457386867,1.0211859175266105,trade_score_lam5,5.0,0.9,-1.8370431979079336,2.0,0.4,False
0.0,best_trade_count_ge_20,49,1.0016438735962745,0.0017118603669779,0.0011683830182958,1.465153413026068,-0.0005181924781607,0.4897959183673469,0.0001676716340531,0.0001676716340531,2.122503402787601,2.1742211462200443,0.2306070457386867,1.0211859175266105,trade_score_lam5,5.0,0.9,-1.8370431979079336,2.0,0.4,False
0.0,best_trade_count_ge_50,50,1.0005825290944506,0.0006066078441531,0.0015966583231052,0.3799233908563267,-0.0012313482467031,0.48,5.835793647145593e-05,5.835793647145593e-05,1.231261819342263,2.192165733296589,0.2362145835423237,1.0110928155849706,trade_score_lam5,5.0,0.9,-1.8370431979079336,2.0,0.5,False
1.0,best_including_zero_trade,0,1.0,0.0,0.0,,0.0,,,,,,,,trade_score_lam20,20.0,0.99,-2.746739608697907,12.0,0.5,True
1.0,best_trade_count_gt_0,49,0.9996827903914812,-0.0003303152784889,0.0009612007305402,-0.3436485928420801,-0.0012473256307327,0.4897959183673469,0.0001676716340531,-3.232836594681856e-05,0.8714136953033451,2.1742211462200443,0.2306070457386867,1.0211859175266105,trade_score_lam5,5.0,0.9,-1.8370431979079336,2.0,0.4,False
1.0,best_trade_count_ge_20,49,0.9996827903914812,-0.0003303152784889,0.0009612007305402,-0.3436485928420801,-0.0012473256307327,0.4897959183673469,0.0001676716340531,-3.232836594681856e-05,0.8714136953033451,2.1742211462200443,0.2306070457386867,1.0211859175266105,trade_score_lam5,5.0,0.9,-1.8370431979079336,2.0,0.4,False
1.0,best_trade_count_ge_50,50,0.9985835365470004,-0.0014749518142215,0.0014764776254404,-0.9989665869684348,-0.0022393736622958,0.48,5.835793647145593e-05,-0.0001416420635285,0.6025150717702225,2.192165733296589,0.2362145835423237,1.0110928155849706,trade_score_lam5,5.0,0.9,-1.8370431979079336,2.0,0.5,False
2.0,best_including_zero_trade,0,1.0,0.0,0.0,,0.0,,,,,,,,trade_score_lam20,20.0,0.99,-2.746739608697907,12.0,0.5,True
2.0,best_trade_count_gt_0,32,0.997829660364656,-0.0022599216776476,0.0008506446367482,-2.656716541806156,-0.0022385871456404,0.375,6.0571500794897454e-05,-0.0003394284992051,0.1615673158558125,2.270133520755621,0.1984685888004802,-1.6992382552539826,trade_score_lam20,20.0,0.99,-2.746739608697907,2.0,0.3,True
2.0,best_trade_count_ge_20,32,0.997829660364656,-0.0022599216776476,0.0008506446367482,-2.656716541806156,-0.0022385871456404,0.375,6.0571500794897454e-05,-0.0003394284992051,0.1615673158558125,2.270133520755621,0.1984685888004802,-1.6992382552539826,trade_score_lam20,20.0,0.99,-2.746739608697907,2.0,0.3,True
2.0,best_trade_count_ge_50,50,0.996588250679736,-0.003552479989207,0.0015421991754387,-2.3035156844746885,-0.0036354996627847,0.42,5.835793647145593e-05,-0.0003416420635285,0.2753501240214174,2.192165733296589,0.2362145835423237,1.0110928155849706,trade_score_lam5,5.0,0.9,-1.8370431979079336,2.0,0.5,False
3.0,best_including_zero_trade,0,1.0,0.0,0.0,,0.0,,,,,,,,trade_score_lam20,20.0,0.99,-2.746739608697907,12.0,0.5,True
3.0,best_trade_count_gt_0,32,0.9965529625130072,-0.0035892211287209,0.0011432573249437,-3.139469173221761,-0.0034470374869928,0.15625,6.0571500794897454e-05,-0.0005394284992051,0.0488453453798474,2.270133520755621,0.1984685888004802,-1.6992382552539826,trade_score_lam20,20.0,0.99,-2.746739608697907,2.0,0.3,True
3.0,best_trade_count_ge_20,32,0.9965529625130072,-0.0035892211287209,0.0011432573249437,-3.139469173221761,-0.0034470374869928,0.15625,6.0571500794897454e-05,-0.0005394284992051,0.0488453453798474,2.270133520755621,0.1984685888004802,-1.6992382552539826,trade_score_lam20,20.0,0.99,-2.746739608697907,2.0,0.3,True
3.0,best_trade_count_ge_50,50,0.9945966651369564,-0.0056259839253611,0.0017732721606211,-3.172656769951514,-0.0054033348630436,0.28,5.835793647145593e-05,-0.0005416420635285,0.1134532912835282,2.192165733296589,0.2362145835423237,1.0110928155849706,trade_score_lam5,5.0,0.9,-1.8370431979079336,2.0,0.5,False
5.0,best_including_zero_trade,0,1.0,0.0,0.0,,0.0,,,,,,,,trade_score_lam20,20.0,0.99,-2.746739608697907,12.0,0.5,True
5.0,best_trade_count_gt_0,32,0.9940040259645638,-0.0062429665729316,0.0018316538400725,-3.408376864858128,-0.0059959740354361,0.03125,6.0571500794897454e-05,-0.0009394284992051,0.0025665698647798,2.270133520755621,0.1984685888004802,-1.6992382552539826,trade_score_lam20,20.0,0.99,-2.746739608697907,2.0,0.3,True
5.0,best_trade_count_ge_20,32,0.9940040259645638,-0.0062429665729316,0.0018316538400725,-3.408376864858128,-0.0059959740354361,0.03125,6.0571500794897454e-05,-0.0009394284992051,0.0025665698647798,2.270133520755621,0.1984685888004802,-1.6992382552539826,trade_score_lam20,20.0,0.99,-2.746739608697907,2.0,0.3,True
5.0,best_trade_count_ge_50,50,0.9906245696522183,-0.0097609479992478,0.0025258458177987,-3.8644274842375306,-0.0093754303477815,0.08,5.835793647145593e-05,-0.0009416420635285,0.0154621906063831,2.192165733296589,0.2362145835423237,1.0110928155849706,trade_score_lam5,5.0,0.9,-1.8370431979079336,2.0,0.5,False
10.0,best_including_zero_trade,0,1.0,0.0,0.0,,0.0,,,,,,,,trade_score_lam20,20.0,0.99,-2.746739608697907,12.0,0.5,True
10.0,best_trade_count_gt_0,31,0.9878401093588834,-0.0126591717651989,0.0037008881533646,-3.420576694188948,-0.0121598906411165,0.0,2.7812451785578302e-05,-0.0019721875482144,0.0,2.2616822903913114,0.1955467964944092,-1.6492536394968722,trade_score_lam20,20.0,0.99,-2.746739608697907,2.0,0.25,True
10.0,best_trade_count_ge_20,31,0.9878401093588834,-0.0126591717651989,0.0037008881533646,-3.420576694188948,-0.0121598906411165,0.0,2.7812451785578302e-05,-0.0019721875482144,0.0,2.2616822903913114,0.1955467964944092,-1.6492536394968722,trade_score_lam20,20.0,0.99,-2.746739608697907,2.0,0.25,True
10.0,best_trade_count_ge_50,50,0.9807586436481288,-0.0200284388114881,0.0049399969539619,-4.054342340317678,-0.019241356351871,0.0,5.835793647145593e-05,-0.0019416420635285,0.0,2.192165733296589,0.2362145835423237,1.0110928155849706,trade_score_lam5,5.0,0.9,-1.8370431979079336,2.0,0.5,False
