horizon,signal_count,mean_bp,median_bp,win_rate,p25_bp,p75_bp,std_bp,avg_expected_edge_bp,avg_rel_open_amount,avg_or_range_bp
10m,2101,0.6130524906968589,0.0,0.41646834840552116,-4.031445273131595,4.120313143798349,11.090288018384596,43.75172047472034,1.5423276078897197,27.481520574052166
15m,2101,1.0709273270978779,0.0,0.42836744407425037,-5.121638924455718,5.007511266901243,16.290106949719302,43.75172047472034,1.5423276078897197,27.481520574052166
1m,2101,0.20583503711571244,0.0,0.3426939552594003,-2.2406453058487763,2.1781746896087917,6.699311716807376,43.75172047472034,1.5423276078897197,27.481520574052166
30m,2101,1.2631712120010772,0.0,0.43407900999524035,-6.0120240480965315,7.0472163495405304,17.657383653008857,43.75172047472034,1.5423276078897197,27.481520574052166
3m,2101,0.26877206892361494,0.0,0.37410756782484533,-2.548419979612193,2.4850894632222342,9.219343203711368,43.75172047472034,1.5423276078897197,27.481520574052166
5m,2101,0.30282306835934775,0.0,0.387434554973822,-3.3383408445997187,2.6539278131654243,9.23760848705423,43.75172047472034,1.5423276078897197,27.481520574052166
60m,1812,2.3334480855063946,0.0,0.46688741721854304,-7.87402226407663,11.0652455582827,25.249649992070417,43.218312316497446,1.5375042537942267,27.87589571066548
eod,2101,2.190151229634852,2.2123893805314765,0.5140409328891005,-10.649627263046302,16.413623307345304,28.912838105690106,43.75172047472034,1.5423276078897197,27.481520574052166
