feature,importance_ret,importance_downside,importance_total
hist_trend_med_5d,1532,1107,2639
hist_range_med_5d,1712,878,2590
hist_trend_med_20d,1274,861,2135
hist_trend_med_10d,971,1095,2066
hist_range_med_30d,1282,602,1884
hist_trend_med_30d,1072,759,1831
hist_range_med_20d,1141,634,1775
hist_range_med_10d,1048,702,1750
hist_rv_med_5d,934,739,1673
intraday_ret_from_open,878,785,1663
hist_amount_med_5d,840,637,1477
hist_amount_med_10d,816,577,1393
hist_rv_med_10d,794,578,1372
bar_index,668,579,1247
vwap_gap,775,454,1229
hist_amount_med_30d,762,456,1218
hist_rv_med_20d,767,433,1200
rebound_from_intraday_low,653,476,1129
hist_amount_med_20d,588,482,1070
hist_rv_med_30d,587,456,1043
dist_intraday_high,509,518,1027
time_cos,198,146,344
range_30m,157,179,336
vwap_slope_20m,108,201,309
dist_low_60m,95,177,272
dist_high_60m,74,180,254
minutes_since_open,125,97,222
vwap_gap_bp,131,88,219
time_sin,53,145,198
rv_30m,35,137,172
range_20m,53,101,154
vwap_slope_10m,42,91,133
ts_code_code,30,94,124
rank_vwap_gap,28,74,102
loo_cat_mean_ret_20m,26,66,92
dist_low_10m,77,12,89
rv_20m,10,75,85
cat_mean_ret_20m,15,63,78
dist_high_30m,15,59,74
pos_60m,11,56,67
dist_low_30m,21,41,62
ret_30m,6,50,56
leader_ret_10m,3,47,50
vwap_slope_5m,19,30,49
dist_low_20m,11,33,44
range_10m,5,31,36
new_high_count_20m,1,32,33
amount_same_time_ratio_30d,25,7,32
dist_high_20m,2,27,29
rel_ret_20m,3,22,25
laggard_ret_10m,0,25,25
rv_10m,0,24,24
range_1m_bp,1,23,24
vwap_slope_3m,7,13,20
dist_low_5m,4,11,15
lower_shadow_ratio,0,15,15
new_high_count_10m,0,15,15
vwap_gap_chg_20m,0,14,14
dist_high_10m,0,12,12
amount_z_30m,0,10,10
ret_30m_bp,1,9,10
ret_5m,1,9,10
upper_shadow_ratio,0,9,9
rank_ret_5m,0,8,8
laggard_ret_5m,0,8,8
rank_ret_3m,0,7,7
vwap_gap_chg_10m,0,7,7
pos_30m,0,7,7
ret_20m,0,7,7
cat_mean_ret_5m,0,7,7
range_5m,0,6,6
green_count_5,0,6,6
rank_ret_10m,0,6,6
loo_cat_mean_ret_10m,0,5,5
dist_high_5m,1,4,5
vwap_slope_1m,2,3,5
ret_15m,0,4,4
slope_5,0,4,4
rank_ret_20m,0,4,4
rel_ret_10m,0,4,4
amount_same_time_logratio_20d,0,4,4
vwap_gap_chg_5m,0,3,3
ret_10m,0,3,3
ret_10m_bp,1,2,3
cat_mean_ret_10m,0,3,3
rv_ratio_10_30,0,3,3
ret_2m,0,2,2
mom_accel_5_20,0,2,2
curvature_5_20,0,2,2
amount_same_time_logratio_10d,0,2,2
amount_same_time_logratio_30d,0,2,2
amount_same_time_ratio_20d,0,2,2
mom_turn_5,0,2,2
leader_ret_5m,0,2,2
amount_same_time_ratio_10d,0,1,1
amount_acc_5_20,0,1,1
rv_5m,0,1,1
loo_cat_mean_ret_5m,0,1,1
pos_10m,0,1,1
ret_20m_bp,0,1,1
rv_ratio_5_20,0,1,1
amount_acc_10_30,0,1,1
loo_cat_mean_ret_3m,0,1,1
mom_accel_3_10,0,1,1
rel_ret_3m,0,1,1
close_location,0,0,0
candidate_event,0,0,0
break_low_60m,0,0,0
candidate_trend,0,0,0
category_code,0,0,0
cat_mean_ret_3m,0,0,0
break_high_10m,0,0,0
break_high_20m,0,0,0
break_high_30m,0,0,0
break_high_5m,0,0,0
break_high_60m,0,0,0
break_low_10m,0,0,0
break_low_20m,0,0,0
break_low_30m,0,0,0
break_low_5m,0,0,0
amount_z_10m,0,0,0
body_ratio,0,0,0
amount_z_5m,0,0,0
amount_z_20m,0,0,0
abs_body_ratio,0,0,0
candidate_reclaim,0,0,0
range_ratio_5_20,0,0,0
price_volume_confirm_10m,0,0,0
green_count_3,0,0,0
price_volume_confirm_5m,0,0,0
rank_amount_z_10m,0,0,0
mom_turn_3,0,0,0
pos_20m,0,0,0
new_high_count_5m,0,0,0
pos_5m,0,0,0
rel_ret_5m,0,0,0
ret_lag_20,0,0,0
ret_lag_2,0,0,0
ret_lag_19,0,0,0
ret_lag_18,0,0,0
ret_lag_17,0,0,0
ret_lag_16,0,0,0
ret_lag_15,0,0,0
ret_lag_14,0,0,0
ret_lag_13,0,0,0
ret_lag_12,0,0,0
ret_lag_11,0,0,0
ret_lag_10,0,0,0
ret_lag_1,0,0,0
ret_amount_confirm_5m,0,0,0
ret_amount_confirm_10m,0,0,0
ret_5m_bp,0,0,0
ret_3m_bp,0,0,0
ret_3m,0,0,0
ret_2m_bp,0,0,0
ret_1m,0,0,0
ret_15m_bp,0,0,0
slope_20,0,0,0
ret_lag_8,0,0,0
ret_lag_9,0,0,0
ret_lag_3,0,0,0
slope_10,0,0,0
ret_lag_5,0,0,0
ret_lag_4,0,0,0
ret_lag_6,0,0,0
ret_lag_7,0,0,0
vwap_gap_chg_1m,0,0,0
vwap_gap_chg_3m,0,0,0
