ts_code,name,t0_category_cn,trade_count,avg_gross_ret,win_rate,profit_factor,avg_weight,avg_holding_bars,avg_long_score,avg_short_score
518880.SH,黄金ETF华安,黄金商品,10,0.00046845095444700833,0.5,3.1417359176624067,0.38931795556957777,8.9,0.5169565217391304,1.2686138631762498
159985.SZ,豆粕ETF华夏,黄金商品,58,-6.333276766684986e-05,0.39655172413793105,0.8363786826421377,0.35486168475715946,5.396551724137931,0.5289355322338831,1.3972195778328245
513520.SH,日经ETF华夏,跨境,77,-0.00016905736901470683,0.44155844155844154,0.7526752165623752,0.24429342105697185,3.4545454545454546,0.6422360248447205,1.373938028840835
159980.SZ,有色ETF,黄金商品,20,-0.0003661281232564872,0.35,0.4628269272787714,0.2770197378290401,4.95,0.5314871541501975,1.370479860077185
513500.SH,标普500ETF博时,跨境,16,-0.0004412242079989276,0.125,0.1743989836261024,0.3431212574252709,4.0,0.5144927536231885,1.2970651669220736
159981.SZ,能源化工ETF,黄金商品,93,-0.00044163383104164807,0.34408602150537637,0.38875682095241654,0.2553156673090493,4.655913978494624,0.5633613231088687,1.4439374425780576
513120.SH,港股创新药ETF广发,跨境,342,-0.0004618063300143462,0.3333333333333333,0.6517445462943707,0.18977361757174163,4.704678362573099,0.733835494533435,1.3737682421683488
513050.SH,中概互联网ETF易方达,跨境,438,-0.0005012432092718034,0.319634703196347,0.5121379485981723,0.2346704853519501,3.7420091324200913,0.7409233930816719,1.3601935560707166
510900.SH,H股ETF易方达,跨境,271,-0.0005593491250431537,0.33579335793357934,0.4542936975238819,0.2028817860625137,4.3357933579335795,0.6329600235584513,1.347935810988347
513090.SH,香港证券ETF易方达,跨境,495,-0.0005742528140398372,0.3191919191919192,0.44000054370780955,0.23512771261749624,4.335353535353535,0.6149460537998088,1.4817388883927494
159920.SZ,恒生ETF华夏,跨境,347,-0.0006367057054652614,0.27089337175792505,0.31909861758018093,0.2425124673230773,3.7579250720461097,0.5994145863742406,1.365766978665618
513100.SH,纳指ETF国泰,跨境,123,-0.0006396352369040886,0.15447154471544716,0.18224440367719671,0.2780632038572973,5.8861788617886175,0.5826083896073292,1.2253675086718747
159792.SZ,港股通互联网ETF富国,跨境,298,-0.0006874115410737233,0.3187919463087248,0.4840637680396357,0.18119411965403007,4.523489932885906,0.7388351937188383,1.3214957294117877
159941.SZ,纳指ETF广发,跨境,134,-0.0007212249351614081,0.1791044776119403,0.13557221307029305,0.26697639550450714,5.940298507462686,0.6071038441333705,1.2265351991111209
513000.SH,日经225ETF,跨境,12,-0.0007352432573240105,0.25,0.06267105053474184,0.21782445689446273,3.5,0.5490942028985507,1.268886226163253
513060.SH,恒生医疗ETF博时,跨境,307,-0.0008144842643102671,0.2768729641693811,0.4605810362411941,0.17476282371310395,4.420195439739413,0.7741066439579398,1.2559201038752223
513180.SH,恒生科技ETF华夏,跨境,266,-0.0010178944538264784,0.2932330827067669,0.2969102592888751,0.18205407326421016,3.744360902255639,0.8223576303831289,1.2207454568711196
513330.SH,恒生互联网ETF华夏,跨境,210,-0.0012986866972207252,0.22857142857142856,0.2264376938406653,0.18522432333470576,3.7523809523809524,0.8508637932116192,1.188335534223589
