feature,importance_ret,importance_downside,importance_total
bar_index,953,887,1840
intraday_ret_from_open,1113,618,1731
hist_trend_med_10d,957,716,1673
hist_trend_med_5d,840,750,1590
hist_range_med_5d,996,568,1564
hist_trend_med_30d,745,567,1312
time_cos,783,471,1254
hist_trend_med_20d,660,584,1244
hist_range_med_10d,644,522,1166
hist_range_med_20d,673,461,1134
vwap_gap,669,389,1058
hist_range_med_30d,519,454,973
dist_intraday_high,461,447,908
rebound_from_intraday_low,452,403,855
hist_rv_med_10d,467,382,849
hist_rv_med_5d,364,450,814
range_30m,427,361,788
hist_amount_med_5d,453,334,787
vwap_slope_20m,432,337,769
hist_amount_med_10d,434,299,733
hist_rv_med_30d,377,295,672
hist_rv_med_20d,359,277,636
dist_high_60m,340,294,634
hist_amount_med_20d,328,296,624
hist_amount_med_30d,297,276,573
cat_mean_ret_20m,368,147,515
dist_low_60m,267,231,498
rv_30m,158,298,456
range_20m,202,225,427
time_sin,134,293,427
rv_20m,173,220,393
new_high_count_20m,284,105,389
loo_cat_mean_ret_20m,207,161,368
dist_high_30m,246,105,351
ret_30m,206,139,345
minutes_since_open,180,138,318
vwap_slope_10m,138,176,314
dist_low_20m,190,78,268
rank_vwap_gap,169,96,265
dist_low_10m,209,54,263
dist_high_20m,180,67,247
rel_ret_20m,138,99,237
dist_low_30m,137,97,234
range_10m,72,134,206
vwap_gap_bp,108,85,193
rv_10m,67,96,163
rank_ret_20m,117,42,159
ts_code_code,106,50,156
mom_accel_5_20,89,63,152
rank_ret_10m,111,40,151
laggard_ret_10m,52,99,151
dist_low_5m,108,32,140
rank_ret_3m,122,14,136
pos_60m,69,65,134
rank_ret_5m,116,15,131
leader_ret_10m,16,110,126
upper_shadow_ratio,86,37,123
rv_ratio_10_30,27,95,122
dist_high_10m,84,36,120
vwap_slope_5m,47,66,113
vwap_gap_chg_20m,63,46,109
ret_2m,80,16,96
ret_10m,71,20,91
cat_mean_ret_10m,28,57,85
ret_30m_bp,48,36,84
leader_ret_5m,54,29,83
laggard_ret_5m,38,42,80
lower_shadow_ratio,56,23,79
range_5m,15,62,77
rel_ret_5m,60,13,73
ret_15m,28,43,71
loo_cat_mean_ret_10m,21,50,71
ret_20m,39,32,71
vwap_slope_3m,20,50,70
amount_acc_10_30,30,35,65
pos_30m,29,34,63
vwap_gap_chg_5m,46,17,63
new_high_count_10m,48,14,62
cat_mean_ret_5m,27,32,59
curvature_5_20,43,16,59
amount_same_time_ratio_30d,40,15,55
range_ratio_5_20,3,48,51
vwap_gap_chg_10m,22,25,47
rel_ret_3m,30,14,44
dist_high_5m,29,14,43
ret_lag_1,13,30,43
pos_20m,32,10,42
rel_ret_10m,22,19,41
loo_cat_mean_ret_5m,4,37,41
break_low_5m,30,10,40
vwap_gap_chg_3m,23,7,30
rv_5m,1,28,29
ret_5m,17,12,29
vwap_slope_1m,5,21,26
ret_10m_bp,18,7,25
mom_accel_3_10,4,21,25
range_1m_bp,3,22,25
ret_20m_bp,15,9,24
vwap_gap_chg_1m,17,6,23
rv_ratio_5_20,1,22,23
loo_cat_mean_ret_3m,17,4,21
ret_2m_bp,19,2,21
amount_z_20m,0,20,20
pos_10m,4,13,17
ret_15m_bp,11,6,17
cat_mean_ret_3m,5,11,16
close_location,14,1,15
ret_3m,12,3,15
amount_z_30m,4,9,13
amount_same_time_ratio_10d,0,13,13
amount_same_time_ratio_20d,1,11,12
body_ratio,2,9,11
pos_5m,0,8,8
ret_1m,5,3,8
break_high_10m,0,8,8
amount_same_time_logratio_20d,0,7,7
ret_lag_8,0,7,7
ret_amount_confirm_10m,0,6,6
ret_lag_11,0,5,5
ret_lag_17,0,5,5
amount_z_10m,0,5,5
amount_acc_5_20,0,4,4
ret_3m_bp,4,0,4
ret_5m_bp,2,2,4
new_high_count_5m,0,4,4
price_volume_confirm_10m,0,4,4
amount_same_time_logratio_30d,0,4,4
ret_amount_confirm_5m,0,3,3
amount_same_time_logratio_10d,0,3,3
amount_z_5m,0,3,3
slope_10,1,1,2
mom_turn_3,0,2,2
green_count_3,0,2,2
ret_lag_4,0,2,2
mom_turn_5,0,2,2
green_count_5,0,2,2
ret_lag_19,0,2,2
ret_lag_20,0,2,2
ret_lag_12,0,2,2
ret_lag_2,0,2,2
ret_lag_10,0,1,1
rank_amount_z_10m,0,1,1
price_volume_confirm_5m,0,1,1
ret_lag_3,0,1,1
candidate_event,0,1,1
ret_lag_13,0,1,1
ret_lag_5,0,1,1
ret_lag_16,0,1,1
break_high_5m,0,0,0
break_high_20m,0,0,0
break_high_30m,0,0,0
abs_body_ratio,0,0,0
category_code,0,0,0
candidate_trend,0,0,0
break_low_60m,0,0,0
candidate_reclaim,0,0,0
break_high_60m,0,0,0
break_low_10m,0,0,0
break_low_20m,0,0,0
break_low_30m,0,0,0
ret_lag_18,0,0,0
ret_lag_14,0,0,0
ret_lag_15,0,0,0
slope_5,0,0,0
ret_lag_6,0,0,0
slope_20,0,0,0
ret_lag_7,0,0,0
ret_lag_9,0,0,0
