ts_code,name,t0_category_cn,trade_count,avg_gross_ret,win_rate,profit_factor,avg_holding_bars
159985.SZ,豆粕ETF华夏,黄金商品,6,0.00025493232314048136,0.3333333333333333,1.2769097277079866,20.333333333333332
518800.SH,黄金ETF国泰,黄金商品,17,0.00019892676103073966,0.35294117647058826,1.466409861437776,28.647058823529413
159937.SZ,黄金ETF博时,黄金商品,20,4.068721779704188e-06,0.45,1.0185446815567742,28.85
518880.SH,黄金ETF华安,黄金商品,24,-1.7869025321318177e-05,0.375,0.9583251912294108,26.791666666666668
159934.SZ,黄金ETF易方达,黄金商品,31,-4.348731060788505e-05,0.41935483870967744,0.85411393705503,26.64516129032258
159980.SZ,有色ETF,黄金商品,1,-0.0011128142244022365,0.0,0.0,9.0
